Language,Attack Name,Is Applicable,Defense Applied,Attack Success Rate,Defense Mitigation
Hindi,EA-CLAIMREWRITERET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-CLAIMREWRITERET-01,Yes,None (Baseline),0.00%,N/A
Malayalam,EA-CLAIMREWRITERET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,EA-CLAIMREWRITERET-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-CLAIMREWRITERET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-CLAIMREWRITERET-01,Yes,None (Baseline),0.00%,N/A
Telugu,EA-CLAIMREWRITERET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,EA-CLAIMREWRITERET-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-CLAIMREWRITERET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,EA-CTXREP-01,Yes,None (Baseline),0.00%,N/A
Hindi,EA-CTXREP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-CTXREP-01,Yes,None (Baseline),28.57%,N/A
Malayalam,EA-CTXREP-01,Yes,Head-Only Finetuning,0.00%,-28.57%
Nepali,EA-CTXREP-01,Yes,None (Baseline),25.00%,N/A
Nepali,EA-CTXREP-01,Yes,Head-Only Finetuning,0.00%,-25.00%
Telugu,EA-CTXREP-01,Yes,None (Baseline),0.00%,N/A
Telugu,EA-CTXREP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,EA-CTXREP-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-CTXREP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,EA-FACT2FICT-01,Yes,None (Baseline),50.00%,N/A
Hindi,EA-FACT2FICT-01,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,EA-FACT2FICT-01,Yes,None (Baseline),57.14%,N/A
Malayalam,EA-FACT2FICT-01,Yes,Head-Only Finetuning,14.29%,-42.86%
Nepali,EA-FACT2FICT-01,Yes,None (Baseline),25.00%,N/A
Nepali,EA-FACT2FICT-01,Yes,Head-Only Finetuning,0.00%,-25.00%
Telugu,EA-FACT2FICT-01,Yes,None (Baseline),66.67%,N/A
Telugu,EA-FACT2FICT-01,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,EA-FACT2FICT-01,Yes,None (Baseline),100.00%,N/A
Urdu,EA-FACT2FICT-01,Yes,Head-Only Finetuning,0.00%,-100.00%
Hindi,EA-IMP-01,Yes,None (Baseline),0.00%,N/A
Hindi,EA-IMP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-IMP-01,Yes,None (Baseline),0.00%,N/A
Malayalam,EA-IMP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,EA-IMP-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-IMP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-IMP-01,Yes,None (Baseline),0.00%,N/A
Telugu,EA-IMP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,EA-IMP-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-IMP-01,Yes,Head-Only Finetuning,0.00%,-0.00%
